id,overall,name,position,age,team,nation
14,9097,Djibril Cissé,ST,23,Liverpool,Frankreich
15,9095,Giorgos Karagounis,ZMZDMRM,27,Inter Mailand,Griechenland
16,9097,Antonis Nikopolidis,TW,32,Olympiakos Piråus,Griechenland
17,9097,Morientes,STRSLS,28,Real Madrid,Spanien
18,9096,Frank Lampard,ZMZOM,26,Chelsea,England
19,9099,Cafú,RVRAVRM,34,AC Mailand,Brasilien
20,9096,Dennis Bergkamp,MSSTZOM,35,Arsenal,Niederlande
21,9098,Dida,TW,31,AC Mailand,Brasilien
22,9099,Michael Ballack,ZMZOMLZM,28,FC Bayern München,Deutschland
23,9097,Fabien Barthez,TW,33,Olympique Marseille,Frankreich
24,9097,Clarence Seedorf,ZMZOMLM,28,AC Mailand,Niederlande
25,9096,Filippo Inzaghi,STMS,31,AC Mailand,Italien
26,9097,Roberto Fabián Ayala,IVRVLV,31,FC Valencia,Argentinien
27,9098,Ciro Ferrara,IVRVLIB,37,Juventus Turin,Italien
28,9095,J. Zanetti,RAVRVRM,31,Inter Mailand,Argentinien
29,9099,Sebastian Deisler,RFLRMZOM,24,FC Bayern München,Deutschland
30,9097,David Beckham,RMRFLZM,29,Real Madrid,England
1,8998,Deco,ZOMRZOMRM,27,FC Barcelona,Portugal
2,8996,Gilberto,ZMZDM,28,Arsenal,Brasilien
3,8998,Joaquín,RFLRM,23,Real Betis Sevilla,Spanien
4,8995,Christoph Metzelder,IVRVLV,23,Borussia Dortmund,Deutschland
5,8995,Zé Roberto,LFLLMLOM,30,FC Bayern München,Brasilien
6,8999,Walter Adrián Samuel,IVLIVRIV,26,Real Madrid,Argentinien
7,8997,Daniel Van Buyten,IVLIB,26,Hamburger SV,Belgien
8,8996,Tim Howard,TW,25,Manchester United,USA
9,8996,John Terry,IVLIB,23,Chelsea,England
10,8997,Andrea Pirlo,ZMZOMZDM,25,AC Mailand,Italien
11,8995,Lauren,RVRAVRM,27,Arsenal,Kamerun
12,8999,Hernán Crespo,STMS,29,AC Mailand,Argentinien
13,8995,Fredrik Ljungberg,RMZMLM,27,Arsenal,Schweden
14,8995,Cañizares,TW,34,FC Valencia,Spanien
15,8996,Gennaro Ivan Gattuso,RMRFLZM,26,AC Mailand,Italien
16,8998,Mickaël Landreau,TW,25,FC Nantes,Frankreich
17,8996,Stilian Petrov,ZMZOM,25,Celtic,Bulgarien
18,8998,Manuel Cesar Rui Costa,ZOMZMRM,32,AC Mailand,Portugal
19,8998,Denilson,LFLLMLZOM,27,Real Betis Sevilla,Brasilien
20,8893,Dimitris Papadopoulos,STMS,22,Panathinaikos,Griechenland
21,8893,Giourkas Seitaridis,RVRM,23,FC Porto,Griechenland
22,8896,Andrés D'Alessandro,ZOMZM,23,VfL Wolfsburg,Argentinien
23,8897,Luís Fabiano,STRA,23,FC Porto,Brasilien
24,8895,Felipe,ZOM,27,Flamengo,Brasilien
25,8893,Kolo Toure,IVRVZDM,23,Arsenal,Elfenbeinküste
26,8899,José Antonio Reyes,STMSLFL,21,Arsenal,Spanien
27,8894,Molina,TW,34,Deportivo La Coruna,Spanien
28,8894,Marcelinho,ZOMLFLLOM,29,Hertha BSC Berlin,Brasilien
29,8899,Fabrizio Miccoli,STLFLROM,25,Firenze,Italien
30,8893,Fernando Meira,IVZDMRV,26,VfB Stuttgart,Portugal
1,8894,Ashley Cole,LVLAV,23,Arsenal,England
2,8896,Didier Drogba,STRS,26,Chelsea,Elfenbeinküste
3,8898,C. Ronaldo,RFLLFLMS,19,Manchester United,Portugal
4,8898,Kieron Dyer,ZMRMRAV,25,Newcastle United,England
5,8897,Puyol,RVIVLV,26,FC Barcelona,Spanien
6,8893,Eto'o,STMSRA,23,FC Barcelona,Kamerun
7,8893,Dianbobo Baldé,IV,28,Celtic,Guinea
8,8896,Edgar Davids,ZMZDMLM,31,Inter Mailand,Niederlande
9,8896,Figo,RMRFLLFL,31,Real Madrid,Portugal
10,8898,Ricardo Carvalho,IVLIB,26,Chelsea,Portugal
11,8893,Jens Nowotny,IVLIBZDM,30,Bayer Leverkusen,Deutschland
12,8897,David James,TW,34,Manchester City,England
13,8895,Alan Shearer,ST,34,Newcastle United,England
14,8797,J. Andrade,IVLV,26,Deportivo La Coruna,Portugal
15,8792,Juninho,ZOMRMRFL,29,Olympique Lyon,Brasilien
16,8799,Wayne Rooney,STMS,18,Manchester United,England
17,8798,Milan Baros,STMS,22,Liverpool,Tschechische Repub.
18,8793,Jonathan Woodgate,IVLIB,24,Real Madrid,England
19,8798,F. Torres,STRA,20,Atlético Madrid,Spanien
20,8795,D. Tristan,STRSLA,28,Deportivo La Coruna,Spanien
21,8795,Jon Dahl Tomasson,STMSZOM,28,AC Mailand,Dänemark
22,8797,Benoît Pedretti,ZMZDMZOM,23,Olympique Marseille,Frankreich
23,8792,Mario Yepes,IV,28,Paris Saint-Germain,Kolumbien
24,8795,Roman,ZOM,26,Villarreal,Argentinien
25,8797,Timo Hildebrand,TW,25,VfB Stuttgart,Deutschland
26,8794,Guti. H,ZOMMSZDM,27,Real Madrid,Spanien
27,8798,Luque,LFLLS,26,Deportivo La Coruna,Spanien
28,8793,M. Salgado,RVRAV,28,Real Madrid,Spanien
29,8795,William Gallas,IVRV,27,Chelsea,Frankreich
30,8796,Eidur Gudjohnsen,STMS,26,Chelsea,Island
1,8792,Ludovic Giuly,ZOMRMZM,28,FC Barcelona,Frankreich
2,8797,Fabio Cannavaro,IVLVRV,31,Juventus Turin,Italien
3,8797,R. Carlos,LVLAV,31,Real Madrid,Brasilien
4,8799,Willy Sagnol,RAVRVRIV,27,FC Bayern München,Frankreich
5,8796,Jens Lehmann,TW,34,Arsenal,Deutschland
6,8795,Christian Wörns,IVRV,32,Borussia Dortmund,Deutschland
7,8693,Gabriel A. Milito,IVLIVRIV,24,Real Saragossa,Argentinien
8,8691,Cris,LIVIV,27,Olympique Lyon,Brasilien
9,8691,Victor Valdés,TW,22,FC Barcelona,Spanien
10,8696,Damien Duff,LMLFLMS,25,Chelsea,Republik Irland
11,8691,Markus Babbel,IVRIVRV,32,VfB Stuttgart,Deutschland
12,8696,Petr Cech,TW,22,Chelsea,Tschechische Repub.
13,8696,Rafael van der Vaart,ZOMLZMMS,21,Ajax Amsterdam,Niederlande
14,8691,Valérien Ismaël,IVRVLV,29,SV Werder Bremen,Frankreich
15,8695,Tomas Ujfalusi,IVLIBRV,26,Firenze,Tschechische Repub.
16,8695,Reina,TW,22,Villarreal,Spanien
17,8692,Dédé,LMLAVLZM,26,Borussia Dortmund,Brasilien
18,8696,Marcelo José Bordon,IVLIVLIB,28,FC Schalke 04,Brasilien
19,8696,Adrian Mutu,STMS,25,Chelsea,Rumänien
20,8694,Derlei,STMSRFL,29,FC Porto,Brasilien
21,8692,Sami Hyypiä,IV,31,Liverpool,Finnland
22,8692,Marchena,IVLIVRIV,25,FC Valencia,Spanien
23,8692,Ailton,ST,31,FC Schalke 04,Brasilien
24,8696,Enzo Maresca,ZMZDMZOM,24,Firenze,Italien
25,8693,Xavi,ZDMZOM,24,FC Barcelona,Spanien
26,8696,Antonio Cassano,LSRAST,22,AS Rom,Italien
27,8699,Ferreira Emerson,ZMRZMLZDM,28,Juventus Turin,Brasilien
28,8692,Vincenzo Montella,MSRALA,30,AS Rom,Italien
29,8693,Louis Saha,STMS,26,Manchester United,Frankreich
30,8695,Harry Kewell,LFLLMZOM,26,Liverpool,Australien
1,8694,Tamudo,STMS,26,Espanyol Barcelona,Spanien
2,8695,Mateja Kezman,STRSLS,25,Chelsea,Serbien
3,8692,Giovane Elber,ST,32,Olympique Lyon,Brasilien
4,8592,Theodoros Zagorakis,ZMRM,32,Bologna,Griechenland
5,8599,Carlos Alberto Tévez,MSZOMST,20,Boca Juniors,Argentinien
6,8593,Baraja,ZOMZMZDM,29,FC Valencia,Spanien
7,8596,Robinho,LAST,20,Santos,Brasilien
8,8592,Pablo,RIVIVLIV,23,Atlético Madrid,Spanien
9,8590,Michalis Konstantinou,ST,26,Panathinaikos,Zypern
10,8592,Mahamadou Diarra,ZM,23,Olympique Lyon,Mali
11,8591,Sébastien Squillaci,IVRIVLIB,24,AS Monaco,Frankreich
12,8594,Juan,IVLIBRV,25,Bayer Leverkusen,Brasilien
13,8596,Xabi Alonso,ZMRZMLZM,22,Liverpool,Spanien
14,8596,Rogério Ceni,TW,31,Sao Paulo,Brasilien
15,8592,Brad Friedel,TW,33,Blackburn Rovers,USA
16,8593,Gaizka Mendieta,RFLRMZM,30,Middlesbrough,Spanien
17,8593,Thomas Gravesen,ZMZDM,28,Everton,Dänemark
18,8594,Arjen Robben,LMLFLLA,20,Chelsea,Niederlande
19,8590,Etxeberria,RFLRAST,27,Athletic Bilbao,Spanien
20,8592,Dennis Rommedahl,RFLZOMMS,26,Charlton Athletic,Dänemark
21,8599,Igor Tudor,IVZDMLZDM,26,Juventus Turin,Kroatien
22,8597,Alberto Gilardino,ST,22,AC Parma,Italien
23,8595,Mikael Silvestre,IVLVLAV,27,Manchester United,Frankreich
24,8595,Nicolas Anelka,ST,25,Manchester City,Frankreich
25,8593,Torsten Frings,RMZDMZM,27,FC Bayern München,Deutschland
26,8590,Jackie McNamara,RVRAVZDM,30,Celtic,Schottland
27,8593,Wayne Bridge,LVLAV,24,Chelsea,England
28,8595,Antti Niemi,TW,32,Southampton,Finnland
29,8597,Ole Gunnar Solskjær,STMSRFL,31,Norwegen,Norwegen
30,8593,Johan Micoud,ZOMZMRZOM,31,SV Werder Bremen,Frankreich
1,8592,Yildiray Bastürk,ZOMZM,25,Hertha BSC Berlin,Türkei
2,8595,Marco Di Vaio,STZOM,28,FC Valencia,Italien
3,8595,Angelo Peruzzi,TW,34,Lazio Rom,Italien
4,8592,Dietmar Hamann,ZDMZM,31,Liverpool,Deutschland
5,8595,Joe Cole,ZOMLMMS,22,Chelsea,England
6,8494,Ariel Miguel Ibagaza,ZOMMSZM,27,Atlético Madrid,Argentinien
7,8490,R. Bravo,LVLAVIV,23,Real Madrid,Spanien
8,8492,Wesley Sneijder,LMZMLZM,20,Ajax Amsterdam,Niederlande
9,8497,Ricardinho,LOMLM,28,Santos,Brasilien
10,8490,Sergio García,STMS,21,Levante UD,Spanien
11,8491,Juanito,IVZDMRV,28,Real Betis Sevilla,Spanien
12,8492,Philipp Lahm,LAVRAVLM,20,VfB Stuttgart,Deutschland
13,8494,Paulo Ferreira,RVRAVRZM,25,Chelsea,Portugal
14,8492,Patrick Müller,IVRIVLIV,27,RCD Mallorca,Schweiz
15,8495,Nihat,MSSTRFL,24,Real Sociedad,Türkei
16,8491,Predrag Djordjevic,LM,32,Olympiakos Piråus,Serbien
17,8493,Andreas Zikos,ZMZDMZOM,30,AS Monaco,Griechenland
18,8490,W. Pandiani,STRSLS,28,Deportivo La Coruna,Uruguay
19,8496,Aliaksandr Hleb,ZOMLOMROM,23,VfB Stuttgart,Weißrussland
20,8489,Eric Carrière,ZOMZDMLM,31,RC Lens,Frankreich
21,8497,Fran,LMLAVLOM,35,Deportivo La Coruna,Spanien
22,8495,José Gomes Edmilson,LIVLIBLZDM,28,FC Barcelona,Brasilien
23,8494,Kim Källström,ZOMZM,22,Rennes,Schweden
24,8495,Helguera,LZDMRIVLIV,29,Real Madrid,Spanien
25,8489,Juliano Haus Belletti,RVRMRZDM,28,FC Barcelona,Brasilien
26,8492,Costinha,ZMZDM,29,FC Porto,Portugal
27,8492,Alexei Smertin,ZMZOMRM,29,Chelsea,Russland
28,8491,Shabani Nonda,STZOMMS,27,AS Monaco,Kongo
29,8493,Juan Pablo Angel,STZOM,28,Aston Villa,Kolumbien
30,8489,Arne Friedrich,RAVRVRIV,25,Hertha BSC Berlin,Deutschland
1,8495,Traianos Dellas,IVLIVRIV,28,AS Rom,Griechenland
2,8492,Santiago Hernán Solari,LMLFLLV,28,Real Madrid,Argentinien
3,8491,Marcelo Salas,ST,29,Club Atletico River Plate,Chile
4,8492,Craig Bellamy,RSRFLST,25,Newcastle United,Wales
5,8494,Mark Viduka,ST,28,Middlesbrough,Australien
6,8492,Savio,LFLLALS,30,Real Saragossa,Brasilien
7,8493,Landon Donovan,MSRMZOM,22,San Jose Earthquakes,USA
8,8490,Geremi,RMZDMRV,25,Chelsea,Kamerun
9,8492,Jamie Carragher,IVRVLV,26,Liverpool,England
10,8489,Roy Carroll,TW,27,Manchester United,Nordirland
11,8493,Massimo Oddo,RVRAV,28,Lazio Rom,Italien
12,8491,Robert Douglas,TW,32,Celtic,Schottland
13,8495,Alvaro Recoba,MSSTLFL,28,Inter Mailand,Uruguay
14,8490,Rivaldo,MSZOM,32,Olympiakos Piråus,Brasilien
15,8493,John O'Shea,IVRVLV,23,Manchester United,Republik Irland
16,8492,Paul Lambert,ZDMZMRM,35,Celtic,Schottland
17,8494,Javier Pedro Saviola,STZOM,22,AS Monaco,Argentinien
18,8489,Couto,IVLIBRIV,35,Lazio Rom,Portugal
19,8393,Luis Amaranto Perea,RIVRVIV,25,Atlético Madrid,Kolumbien
20,8395,Lukas Podolski,MSSTLA,19,1. FC Köln,Deutschland
21,8388,Vyacheslav Malafeev,TW,25,Russland,Russland
22,8388,Sonny Anderson,STRSLS,34,Villarreal,Brasilien
23,8391,Pedrinho,ZOMLOM,27,Palmeiras,Brasilien
24,8394,Julio Baptista,ZOMZMMS,23,Sevilla,Brasilien
25,8388,Carlos Ruiz,STMS,25,Los Angeles Galaxy,Guatemala
26,8397,Nilmar,LAZOMMS,20,Internacional,Brasilien
27,8390,Carlos Alberto,ZOMRZOM,19,FC Porto,Brasilien
28,8389,Prats,TW,33,Real Betis Sevilla,Spanien
29,8388,Pauleta,STMS,31,Paris Saint-Germain,Portugal
30,8391,Villa,STRSLS,22,Real Saragossa,Spanien
1,8391,Mista,STZOMLOM,25,FC Valencia,Spanien
2,8392,Albelda,ZDMRZDMLZDM,27,FC Valencia,Spanien
3,8390,Victor,RFLRMZM,28,Deportivo La Coruna,Spanien
4,8391,Henrik Larsson,STMS,33,FC Barcelona,Schweden
5,8388,Fredi Bobic,ST,32,Hertha BSC Berlin,Deutschland
6,8392,Edu,ZMLM,26,Arsenal,Brasilien
7,8388,Johan Mjällby,IVLIVRIV,33,Levante UD,Schweden
8,8389,Aparecido R. César,LOMLFLLA,29,Lazio Rom,Brasilien
9,8389,Thiago Motta,ZMLVLM,22,FC Barcelona,Brasilien
10,8390,Helge Payer,TW,25,Rapid Wien,Österreich
11,8393,Diego Forlan,STLARA,25,Villarreal,Uruguay
12,8392,Shaun Maloney,STMS,21,Celtic,Schottland
13,8391,Zurab Khizanishvili,IVZDMRV,23,Rangers,Georgien
14,8388,Michaël Essien,RMZM,21,Olympique Lyon,Ghana
15,8393,Andreas Hinkel,RVRAVRM,22,VfB Stuttgart,Deutschland
16,8390,Arteta,ZMRZOMZOM,22,Real Sociedad,Spanien
17,8391,Jerzy Dudek,TW,31,Liverpool,Polen
18,8396,Zlatan Ibrahimovic,STMS,23,Juventus Turin,Schweden
19,8394,Dado Prso,STZOMRFL,29,Rangers,Kroatien
20,8392,Rafael Márquez,IVLIB,25,FC Barcelona,Mexiko
21,8398,Kleberson,ZMZDMZOM,25,Manchester United,Brasilien
22,8390,Robson Ponte,ZOMRFLRM,27,Bayer Leverkusen,Brasilien
23,8388,Facundo Quiroga,IVRVRIV,26,VfL Wolfsburg,Argentinien
24,8389,Kevin Hofland,LIVIVLIB,25,VfL Wolfsburg,Niederlande
25,8394,Mladen Krstajic,IVLVLAV,30,FC Schalke 04,Serbien
26,8393,Wes Brown,IVRV,24,Manchester United,England
27,8394,Martin Laursen,IV,27,Aston Villa,Dänemark
28,8394,Peguy Luyindula,ST,25,Olympique Marseille,Frankreich
29,8388,Fabian Ernst,LZMLZDMLZOM,25,SV Werder Bremen,Deutschland
30,8392,Javier López Vallejo,TW,29,Villarreal,Spanien
1,8388,Rufete,RFLRM,27,FC Valencia,Spanien
2,8388,Amedeo Carboni,LAVLVIV,39,FC Valencia,Italien
3,8388,Ezquerro,STMSZOM,27,Athletic Bilbao,Spanien
4,8392,Shota Arveladze,STMSRFL,31,Rangers,Georgien
5,8392,Juan Sebastián Verón,ZDMRZDMZM,29,Inter Mailand,Argentinien
6,8388,Hans-Jörg Butt,TW,30,Bayer Leverkusen,Deutschland
7,8394,Vladimir Smicer,ZOMMS,31,Liverpool,Tschechische Repub.
8,8395,Flavio,ZDMZMRZDM,30,Galatasaray,Brasilien
9,8389,Bernd Schneider,RMZOMZM,30,Bayer Leverkusen,Deutschland
10,8394,Grégory Coupet,TW,31,Olympique Lyon,Frankreich
11,8390,Marvin Andrews,IVRVLIB,28,Rangers,Trinidad und Tobago
12,8395,Sebastien Frey,TW,24,AC Parma,Frankreich
13,8396,Christian Abbiati,TW,27,AC Mailand,Italien
14,8388,Frank Fahrenhorst,IVRIVLIV,27,SV Werder Bremen,Deutschland
15,8394,Jérôme Rothen,LMLOMLZM,26,Paris Saint-Germain,Frankreich
16,8392,Jesper Grønkjær,RFLLFLRM,27,Birmingham City,Dänemark
17,8390,Thomas Linke,IVLIVRIV,34,FC Bayern München,Deutschland
18,8390,Mark Schwarzer,TW,32,Middlesbrough,Australien
19,8394,Flavio Roma,TW,30,AS Monaco,Italien
20,8392,Stefan Klos,TW,33,Rangers,Deutschland
21,8394,Mehmet Scholl,ZOMROMRFL,33,FC Bayern München,Deutschland
22,8395,Samuel Osei Kuffour,IVRIVLIV,28,FC Bayern München,Ghana
23,8392,Chris Sutton,STRZOMIV,31,Celtic,England
24,8392,Darius Vassell,ST,24,Aston Villa,England
25,8395,Robbie Keane,STMS,24,Tottenham Hotspur,Republik Irland
26,8396,Alan Thompson,LMLAVLV,30,Celtic,England
27,8299,Penna Bianca,MS,35,AC Perugia,Italien
28,8290,Aggelos Basinas,ZDMZM,28,Panathinaikos,Griechenland
29,8288,Vasilis Lakis,RFLRARS,28,Griechenland,Griechenland
30,8289,Gökdeniz Karadeniz,RFLZOMZM,24,Türkei,Türkei
1,8287,Pat Onstad,TW,36,San Jose Earthquakes,Kanada
2,8288,Preki,ZOMZM,41,Kansas City Wizards,USA
3,8289,Diego,ZOMZM,19,FC Porto,Brasilien
4,8290,Thomas Sørensen,TW,28,Aston Villa,Dänemark
5,8294,Dagoberto,LAMSLOM,21,Atletico Paranaense,Brasilien
6,8293,Fábio,TW,24,Vasco Da Gama,Brasilien
7,8287,Luizão,ST,28,Botafogo,Brasilien
8,8291,Charles Itandje,TW,21,RC Lens,Frankreich
9,8289,Peter Løvenkrands,LFLMSLM,24,Rangers,Dänemark
10,8297,Alexandr Kerzhakov,STMS,21,Russland,Russland
11,8293,Massimo Ambrosini,ZDMZM,27,AC Mailand,Italien
12,8295,Portillo,ST,22,Firenze,Spanien
13,8294,Tim Wiese,TW,22,1. FC Kaiserslautern,Deutschland
14,8291,Rüstü,TW,31,Türkei,Türkei
15,8296,Patrice Evra,LAVLVLM,23,AS Monaco,Frankreich
16,8287,Campano,ROMRFLRDM,25,RCD Mallorca,Spanien
17,8290,Richard Wright,TW,26,Everton,England
18,8297,Jermain Defoe,MS,22,Tottenham Hotspur,England
19,8290,Kasey Keller,TW,34,Tottenham Hotspur,USA
20,8294,Ernesto Javier Chevanton,STMS,24,AS Monaco,Uruguay
21,8289,Pavón,IVLIVRIV,24,Real Madrid,Spanien
22,8290,Mantorras,STMSRA,22,Benfica Lissabon,Angola
23,8290,Barry Ferguson,ZMZDM,26,Blackburn Rovers,Schottland
24,8287,Imre Szabics,STRS,23,VfB Stuttgart,Ungarn
25,8290,Philippe Mexès,IVRIVLIV,22,AS Rom,Frankreich
26,8294,Sidney Govou,STMS,25,Olympique Lyon,Frankreich
27,8293,Julien Rodriguez,IVLVRIV,26,AS Monaco,Frankreich
28,8295,Claudio Pizarro,STMSZOM,26,FC Bayern München,Peru
29,8291,França,STMSZOM,28,Bayer Leverkusen,Brasilien
30,8299,Hélder Postiga,STRFL,22,FC Porto,Portugal
1,8293,Vitor Baía,TW,35,FC Porto,Portugal
2,8289,Rein van Duijnhoven,TW,37,VfL Bochum,Niederlande
3,8287,Martin Petrov,LFLLALOM,25,VfL Wolfsburg,Bulgarien
4,8292,Emmanuel Olisadebe,ST,25,Panathinaikos,Polen
5,8297,Iván Córdoba,LVIVRV,27,Inter Mailand,Kolumbien
6,8293,Alan Smith,STMS,23,Manchester United,England
7,8295,John Arne Riise,LVLMLAV,24,Liverpool,Norwegen
8,8288,Mauricio Andrés Pellegrino,IVRV,33,FC Valencia,Argentinien
9,8294,Marek Heinz,MSSTZOM,27,Bor. M'Gladbach,Tschechische Repub.
10,8296,Camel Meriem,RZMRMZOM,24,Girondins Bordeaux,Frankreich
11,8288,M. Pablo,RAVRVRDM,28,Deportivo La Coruna,Spanien
12,8292,Pochettino,IVLIB,32,Espanyol Barcelona,Argentinien
13,8290,Jean-Alain Boumsong,IVRV,24,Rangers,Frankreich
14,8294,Gabriel Heinze,LVIV,26,Manchester United,Argentinien
15,8287,Karanka,IV,31,Athletic Bilbao,Spanien
16,8293,Jussi Jaaskelainen,TW,29,Bolton Wanderers,Finnland
17,8294,Robin van Persie,MSLOMST,21,Arsenal,Niederlande
18,8293,Simone Inzaghi,MSSTRA,28,Lazio Rom,Italien
19,8290,Emile Mpenza,STMS,26,Hamburger SV,Belgien
20,8288,Giovanni Van Bronckhorst,LVLAV,29,FC Barcelona,Niederlande
21,8292,Patrick Kluivert,STZOMMS,28,Newcastle United,Niederlande
22,8292,Nwankwo Kanu,STMS,28,West Bromwich,Nigeria
23,8289,Michael Reiziger,RV,31,Middlesbrough,Niederlande
24,8289,Nadal,IVLVRV,38,RCD Mallorca,Spanien
25,8290,Bixente Lizarazu,LAVLVLM,34,Olympique Marseille,Frankreich
26,8292,Matias Jesus Almeyda,ZDMZM,30,Brescia,Argentinien
27,8288,Nicola Legrottaglie,IVRV,26,Juventus Turin,Italien
28,8288,Morgan De Sanctis,TW,27,Udinese,Italien
29,8295,Nuno Gomes,STMS,28,Benfica Lissabon,Portugal
30,8287,Zvonimir Soldo,ZDMIVLIB,36,VfB Stuttgart,Kroatien
1,8290,Hakan Yakin,ZOMMS,27,VfB Stuttgart,Schweiz
2,8287,César,TW,33,Real Madrid,Spanien
3,8289,Tomasz Waldoch,IVLIB,33,FC Schalke 04,Polen
4,8293,Ricardo,TW,28,Sporting Lissabon,Portugal
5,8294,Laurent Robert,LFLZOMLM,29,Newcastle United,Frankreich
6,8290,Stéphane Henchoz,IV,30,Liverpool,Schweiz
7,8288,Thomas Brdaric,STMSRA,29,VfL Wolfsburg,Deutschland
8,8295,Jay-Jay,ZOMSTLM,31,Bolton Wanderers,Nigeria
9,8290,Nicky Butt,ZDMZM,29,Newcastle United,England
10,8292,Gary Neville,RVIVRAV,29,Manchester United,England
11,8293,Emre,LMZOM,24,Inter Mailand,Türkei
12,8188,Ricardo Oliveira,ST,24,Real Betis Sevilla,Brasilien
13,8186,Alfonso,LALOMMS,32,Real Betis Sevilla,Spanien
14,8191,Angelo Di Livio,RMZMRFL,38,Firenze,Italien
15,8189,Victor,STMS,30,Real Valladolid,Spanien
16,8192,Gonzalo,RIVIVLIB,20,Villarreal,Argentinien
17,8196,Luis Óscar González,ZOMZMST,23,Club Atletico River Plate,Argentinien
18,8193,Tapia,TW,38,Santos,Chile
19,8187,Gavin Rae,ZDMZM,26,Rangers,Schottland
20,8190,Helton,TW,26,Uniπo Leiria,Brasilien
21,8186,Daniel,IVRIV,31,Palmeiras,Brasilien
22,8193,Hakan Sükür,ST,33,Galatasaray,Türkei
23,8190,Cuauhtémoc Blanco,MSSTZOM,31,Veracruz,Mexiko
24,8189,Adrian Ilie,RARSRZOM,30,FC Zürich,Rumänien
25,8186,José Antonio García Calvo,IVRIVRV,29,Atlético Madrid,Spanien
26,8199,Deivid,ST,24,Santos,Brasilien
27,8194,Gil,LALOMST,24,Corinthians,Brasilien
28,8193,Bennedict Saul McCarthy,STMS,26,FC Porto,Südafrika
29,8190,Assunçao,ZMZDM,28,Real Betis Sevilla,Brasilien
30,8191,Salva,STRSRA,29,Atlético Madrid,Spanien
1,8190,Oleguer,IVRAVLAV,24,FC Barcelona,Spanien
2,8186,Roger,LMZOMLFL,27,Villarreal,Spanien
3,8186,César,RIVIVLIV,27,Deportivo La Coruna,Spanien
4,8192,Nestor Roberto Sensini,IVZDM,37,Udinese,Argentinien
5,8189,Giovanni,STLFLRFL,31,Olympiakos Piråus,Brasilien
6,8189,Sotiris Kyrgiakos,IVRV,25,Panathinaikos,Griechenland
7,8187,Angelos Charisteas,STRS,24,SV Werder Bremen,Griechenland
8,8186,Uwe Möhrle,IVRVRIV,24,FC Hansa Rostock,Deutschland
9,8193,Stanislav Varga,IV,32,Celtic,Slowakei
10,8193,Matthew Upson,IVLV,25,Birmingham City,England
