id,overall,name,position,age,team,nation,edition
24,8385,Eduardo,ST,25,Arsenal,Kroatien,fifa_2009
25,8385,Hans Balabaster,IV,27,Niederlande,Niederlande,fifa_2009
26,8388,Steve Mandanda,TW,23,Marseille,Frankreich,fifa_2009
27,8390,Riccardo Montolivo,ZM,23,Fiorentina,Italien,fifa_2009
28,8388,Aiden McGeady,LFL,22,Celtic,Republik Irland,fifa_2009
29,8387,Ashley Young,RFL,23,Aston Villa,England,fifa_2009
30,8387,GaÃ«l Clichy,LAV,23,Arsenal,Frankreich,fifa_2009
1,8390,Lukas Podolski,LA,23,Bayern MÃ¼nchen,Deutschland,fifa_2009
2,8386,Vyacheslav Malafeev,TW,29,Russland,Russland,fifa_2009
3,8392,JesÃºs Navas,RM,22,Sevilla F.C.,Spanien,fifa_2009
4,8385,Elano,ZOM,27,Manchester City,Brasilien,fifa_2009
5,8386,Alex,ZOM,30,FenerbahÃ§e SK,Brasilien,fifa_2009
6,8388,JÃ©rÃ©my Toulalan,ZDM,24,Olympique Lyon,Frankreich,fifa_2009
7,8387,GÃ¼iza,ST,28,FenerbahÃ§e SK,Spanien,fifa_2009
8,8385,ValdÃ©s,TW,26,F.C. Barcelona,Spanien,fifa_2009
9,8389,Alberto Aquilani,ZM,24,AS Rom,Italien,fifa_2009
10,8388,Afonso Alves,MS,27,Middlesbrough,Brasilien,fifa_2009
11,8389,Massimo Ambrosini,ZDM,31,AC Mailand,Italien,fifa_2009
12,8385,Matteo Sereni,TW,33,Turin,Italien,fifa_2009
13,8385,Diego ForlÃ¡n,ST,29,AtlÃ©tico Madrid,Uruguay,fifa_2009
14,8386,Christian Poulsen,ZDM,28,Juventus,DÃ¤nemark,fifa_2009
15,8388,Florent Malouda,LM,28,Chelsea,Frankreich,fifa_2009
16,8387,Mamadou Niang,ST,28,Marseille,Senegal,fifa_2009
17,8388,Sidney Govou,RFL,29,Olympique Lyon,Frankreich,fifa_2009
18,8384,Ashley Cole,LAV,27,Chelsea,England,fifa_2009
19,8388,ZÃ© Roberto,ZDM,34,Bayern MÃ¼nchen,Brasilien,fifa_2009
20,8387,Rafael MÃ¡rquez,IV,29,F.C. Barcelona,Mexiko,fifa_2009
21,8383,Roque Santa Cruz,ST,27,Blackburn Rovers,Paraguay,fifa_2009
22,8386,Walter AdriÃ¡n Samuel,IV,30,Inter Mailand,Argentinien,fifa_2009
23,8386,Michael Carrick,ZM,27,Manchester United,England,fifa_2009
24,8385,Martin Petrov,LFL,29,Manchester City,Bulgarien,fifa_2009
25,8386,IvÃ¡n Ramiro CÃ³rdoba,IV,32,Inter Mailand,Kolumbien,fifa_2009
26,8385,Owen Hargreaves,ZDM,27,Manchester United,England,fifa_2009
27,8383,Guti,ZOM,31,Real Madrid C.F.,Spanien,fifa_2009
28,8389,Nicolas Anelka,ST,29,Chelsea,Frankreich,fifa_2009
29,8388,Gianluca Zambrotta,RV,31,AC Mailand,Italien,fifa_2009
30,8388,Bernd Schneider,RM,34,Bayer 04 Leverkusen,Deutschland,fifa_2009
1,8385,Shay Given,TW,32,Newcastle United Jets FC,Republik Irland,fifa_2009
2,8387,Patrick Vieira,ZDM,32,Inter Mailand,Frankreich,fifa_2009
3,8390,Clarence Seedorf,ZOM,32,AC Mailand,Niederlande,fifa_2009
4,8384,FrÃ©dÃ©ric KanoutÃ©,ST,30,Sevilla F.C.,Mali,fifa_2009
5,8384,Robbie Keane,MS,28,Liverpool,Republik Irland,fifa_2009
6,8384,David James,TW,38,FC Portsmouth,England,fifa_2009
7,8283,Kasper van Koperen,ST,25,Niederlande,Niederlande,fifa_2009
8,8290,Luka ModriÄ,ZM,22,Tottenham Hotspur,Kroatien,fifa_2009
9,8286,Naldo,IV,25,Werder Bremen,Brasilien,fifa_2009
10,8285,Ezequiel Garay,IV,21,Real Racing Club,Argentinien,fifa_2009
11,8287,Micah Richards,IV,20,Manchester City,England,fifa_2009
12,8289,Anderson,ZOM,20,Manchester United,Brasilien,fifa_2009
13,8290,Samir Nasri,ZOM,21,Arsenal,Frankreich,fifa_2009
14,8284,Bacary Sagna,RV,25,Arsenal,Frankreich,fifa_2009
15,8288,Fabio Quagliarella,MS,25,Udinese,Italien,fifa_2009
16,8287,Bafetimbi Gomis,ST,23,A.S. Saint-Etienne,Frankreich,fifa_2009
17,8287,Jefferson FarfÃ¡n,MS,23,FC Schalke 04,Peru,fifa_2009
18,8286,Mathieu Flamini,ZM,24,AC Mailand,Frankreich,fifa_2009
19,8284,Henrique,IV,25,FCGB,Brasilien,fifa_2009
20,8289,David Bentley,RM,24,Tottenham Hotspur,England,fifa_2009
21,8286,Daniel Agger,IV,23,Liverpool,DÃ¤nemark,fifa_2009
22,8285,Munitis,LFL,33,Real Racing Club,Spanien,fifa_2009
23,8289,Guillermo Ochoa,TW,23,AmÃ©rica,Mexiko,fifa_2009
24,8285,Helton,TW,30,FC Porto,Brasilien,fifa_2009
25,8286,Roberto Carlos Abbondanzieri,TW,36,Getafe C.F.,Argentinien,fifa_2009
26,8283,Fernando Cavenaghi,ST,24,FCGB,Argentinien,fifa_2009
27,8288,Jolean Lescott,IV,26,Everton,England,fifa_2009
28,8285,Diego Lugano,IV,27,FenerbahÃ§e SK,Uruguay,fifa_2009
29,8286,Obafemi Martins,ST,23,Newcastle United Jets FC,Nigeria,fifa_2009
30,8282,Bogdan Lobont,TW,30,RumÃ¤nien,RumÃ¤nien,fifa_2009
1,8284,Alex,IV,26,Chelsea,Brasilien,fifa_2009
2,8287,Cris,IV,31,Olympique Lyon,Brasilien,fifa_2009
3,8288,Gomes,TW,27,Tottenham Hotspur,Brasilien,fifa_2009
4,8282,Sulley Ali Muntari,ZM,24,Inter Mailand,Ghana,fifa_2009
5,8286,Jean II Makoun,ZDM,25,Olympique Lyon,Kamerun,fifa_2009
6,8285,Juninho,ZOM,33,Olympique Lyon,Brasilien,fifa_2009
7,8285,Maximiliano RodrÃ­guez,RM,27,AtlÃ©tico Madrid,Argentinien,fifa_2009
8,8286,Mirko VuÄiniÄ,ST,24,AS Rom,Montenegro,fifa_2009
9,8286,Heiko Westermann,IV,25,FC Schalke 04,Deutschland,fifa_2009
10,8285,MartÃ­n Palermo,ST,34,Boca Juniors,Argentinien,fifa_2009
11,8287,Kevin Kuranyi,ST,26,FC Schalke 04,Deutschland,fifa_2009
12,8289,RaÃºl,MS,31,Real Madrid C.F.,Spanien,fifa_2009
13,8287,Xabi Alonso,ZM,26,Liverpool,Spanien,fifa_2009
14,8283,Mikel Arteta,ZOM,26,Everton,Spanien,fifa_2009
15,8285,David Pizarro,ZM,28,AS Rom,Chile,fifa_2009
16,8286,Mark van Bommel,ZDM,31,Bayern MÃ¼nchen,Niederlande,fifa_2009
17,8286,Tim Howard,TW,29,Everton,USA,fifa_2009
18,8284,Cristiano Zanetti,ZM,31,Juventus,Italien,fifa_2009
19,8285,Marchena,IV,29,Valencia C.F.,Spanien,fifa_2009
20,8290,Palop,TW,34,Sevilla F.C.,Spanien,fifa_2009
21,8284,Dejan StankoviÄ,ZM,29,Inter Mailand,Serbien,fifa_2009
22,8285,Nicola Legrottaglie,IV,31,Juventus,Italien,fifa_2009
23,8290,Gennaro Gattuso,ZDM,30,AC Mailand,Italien,fifa_2009
24,8284,Bosingwa,RAV,26,Chelsea,Portugal,fifa_2009
25,8286,Mancini,LFL,28,Inter Mailand,Brasilien,fifa_2009
26,8286,Frank Rost,TW,35,Hamburger SV,Deutschland,fifa_2009
27,8287,Willy Sagnol,RAV,31,Bayern MÃ¼nchen,Frankreich,fifa_2009
28,8289,Ryan Giggs,LM,34,Manchester United,Wales,fifa_2009
29,8185,MartÃ­n CÃ¡ceres,IV,20,F.C. Barcelona,Uruguay,fifa_2009
30,8181,Vedran Äorluka,RV,22,Tottenham Hotspur,Kroatien,fifa_2009
1,8189,Hernanes,ZM,23,Sao Paulo,Brasilien,fifa_2009
2,8184,Ron Kieslaer,RFL,25,Niederlande,Niederlande,fifa_2009
3,8185,Marco Materazzi,IV,35,Inter Mailand,Italien,fifa_2009
4,8186,Giuseppe de Horenbout,LV,33,Niederlande,Niederlande,fifa_2009
5,8188,Marko PanteliÄ,ST,29,Hertha BSC,Serbien,fifa_2009
6,8188,Marek HamÅ¡ik,ZOM,21,Napoli,Slowakei,fifa_2009
7,8188,Hugo Lloris,TW,21,Olympique Lyon,Frankreich,fifa_2009
8,8190,Manuel Neuer,TW,22,FC Schalke 04,Deutschland,fifa_2009
9,8184,Diego Alves,TW,23,U.D. AlmerÃ­a,Brasilien,fifa_2009
10,8186,John Obi Mikel,ZM,21,Chelsea,Nigeria,fifa_2009
11,8186,Gabriel Agbonlahor,ST,21,Aston Villa,England,fifa_2009
12,8182,Lassana Diarra,ZDM,23,FC Portsmouth,Frankreich,fifa_2009
13,8185,JoÃ£o Moutinho,ZOM,21,Sporting CP,Portugal,fifa_2009
14,8182,Niko KranjÄar,ZOM,24,FC Portsmouth,Kroatien,fifa_2009
15,8188,RaÃºl Albiol,IV,22,Valencia C.F.,Spanien,fifa_2009
16,8188,De la PeÃ±a,ZOM,32,R.C.D. Espanyol,Spanien,fifa_2009
17,8186,Ryan Babel,LFL,21,Liverpool,Niederlande,fifa_2009
18,8187,Ibson,ZM,24,Flamengo,Brasilien,fifa_2009
19,8185,Rodrigo Ferrante Taddei,RFL,28,AS Rom,Brasilien,fifa_2009
20,8183,LiÃ©dson,ST,30,Sporting CP,Brasilien,fifa_2009
21,8183,Mirel Radoi,IV,27,RumÃ¤nien,RumÃ¤nien,fifa_2009
22,8187,Roman Pavlyuchenko,ST,26,Tottenham Hotspur,Russland,fifa_2009
23,8183,Carlos CuÃ©llar,IV,27,Aston Villa,Spanien,fifa_2009
24,8188,Servet Ãetin,IV,25,Galatasaray,TÃ¼rkei,fifa_2009
25,8187,Volkan Demirel,TW,26,FenerbahÃ§e SK,TÃ¼rkei,fifa_2009
26,8184,Diego Alberto Milito,ST,29,F. Genova,Argentinien,fifa_2009
27,8185,Lisandro LÃ³pez,ST,25,FC Porto,Argentinien,fifa_2009
28,8187,JÃ´,ST,21,Manchester City,Brasilien,fifa_2009
29,8183,Carlos Salcido,IV,28,PSV Eindhoven,Mexiko,fifa_2009
30,8188,Nani,LFL,21,Manchester United,Portugal,fifa_2009
1,8188,AndrÃ©s D'Alessandro,ZOM,27,I. Porto Alegre,Argentinien,fifa_2009
2,8187,Goran Pandev,MS,25,Lazio,Mazedonien,fifa_2009
3,8186,Julio Baptista,ZOM,26,AS Rom,Brasilien,fifa_2009
4,8186,Wendel,LM,26,FCGB,Brasilien,fifa_2009
5,8183,Doni,TW,28,AS Rom,Brasilien,fifa_2009
6,8187,Lorik Cana,ZDM,25,Marseille,Albanien,fifa_2009
7,8189,Carlos Idriss Kameni,TW,24,R.C.D. Espanyol,Kamerun,fifa_2009
8,8185,Vicente,LFL,27,Valencia C.F.,Spanien,fifa_2009
9,8183,Stewart Downing,LFL,24,Middlesbrough,England,fifa_2009
10,8185,Craig Gordon,TW,25,Sunderland,Schottland,fifa_2009
11,8185,Angelo Palombo,ZDM,26,Sampdoria,Italien,fifa_2009
12,8184,SÃ©bastien Squillaci,IV,28,Sevilla F.C.,Frankreich,fifa_2009
13,8185,Ledley King,IV,27,Tottenham Hotspur,England,fifa_2009
14,8184,Jermain Defoe,ST,25,FC Portsmouth,England,fifa_2009
15,8185,Lincoln,ZOM,29,Galatasaray,Brasilien,fifa_2009
16,8185,Fabricio Coloccini,IV,26,Newcastle United Jets FC,Argentinien,fifa_2009
17,8183,Fernando Meira,IV,30,Galatasaray,Portugal,fifa_2009
18,8187,JoaquÃ­n,RFL,27,Valencia C.F.,Spanien,fifa_2009
19,8184,TomÃ¡Å¡ UjfaluÅ¡i,IV,30,AtlÃ©tico Madrid,Tschechische Repub.,fifa_2009
20,8187,John Carew,ST,28,Aston Villa,Norwegen,fifa_2009
21,8184,Alexander Frei,ST,29,Borussia Dortmund,Schweiz,fifa_2009
22,8182,Quim,TW,32,Sport Lisboa Benfica,Portugal,fifa_2009
23,8186,Yaya Gnegneri TourÃ©,ZM,25,F.C. Barcelona,ElfenbeinkÃ¼ste,fifa_2009
24,8182,Arne Friedrich,IV,29,Hertha BSC,Deutschland,fifa_2009
25,8181,Josip Å imuniÄ,IV,30,Hertha BSC,Kroatien,fifa_2009
26,8191,Roy Makaay,ST,33,Feyenoord Rotterdam,Niederlande,fifa_2009
27,8190,HernÃ¡n Jorge Crespo,ST,33,Inter Mailand,Argentinien,fifa_2009
28,8185,Kakhaber Kaladze,IV,30,AC Mailand,Georgien,fifa_2009
29,8188,Pavel Nedved,LM,36,Juventus,Tschechische Repub.,fifa_2009
30,8184,Fernando Morientes,ST,32,Valencia C.F.,Spanien,fifa_2009
1,8189,Michael Owen,ST,28,Newcastle United Jets FC,England,fifa_2009
2,8184,Simone Perrotta,ZM,30,AS Rom,Italien,fifa_2009
3,8188,MickaÃ«l Landreau,TW,29,Paris Saint-Germain,Frankreich,fifa_2009
4,8184,Shaun Wright-Phillips,RFL,26,Manchester City,England,fifa_2009
5,8186,Tamudo,ST,30,R.C.D. Espanyol,Spanien,fifa_2009
6,8182,Robert Pires,LM,34,Villarreal C.F.,Frankreich,fifa_2009
7,8184,JÃ©rÃ´me Rothen,LFL,30,Paris Saint-Germain,Frankreich,fifa_2009
8,8182,Dean Ashton,ST,24,West Ham United,England,fifa_2009
9,8189,David Beckham,RM,33,Los Angeles Galaxy,England,fifa_2009
10,8082,Oscar Cardozo,ST,25,Sport Lisboa Benfica,Paraguay,fifa_2009
11,8084,Miguel Veloso,ZDM,22,Sporting CP,Portugal,fifa_2009
12,8086,Flip Kuipers,ST,28,Niederlande,Niederlande,fifa_2009
13,8085,Henk Kleynhans,RV,27,Niederlande,Niederlande,fifa_2009
14,8086,MatÃ­as FernÃ¡ndez,ZOM,22,Villarreal C.F.,Chile,fifa_2009
15,8087,Rafinha,RAV,22,FC Schalke 04,Brasilien,fifa_2009
16,8084,Juan Pablo Carrizo,TW,24,Lazio,Argentinien,fifa_2009
17,8086,Juan Manuel Vargas,LAV,24,Fiorentina,Peru,fifa_2009
18,8080,Martin Å krtel,IV,23,Liverpool,Slowakei,fifa_2009
19,8082,De la Red,ZM,23,Real Madrid C.F.,Spanien,fifa_2009
20,8086,Giuseppe Rossi,MS,21,Villarreal C.F.,Italien,fifa_2009
21,8086,Ezequiel IvÃ n Lavezzi,RA,23,Napoli,Argentinien,fifa_2009
22,8086,GÃ¶khan Inler,ZM,24,Udinese,Schweiz,fifa_2009
23,8086,Mohamed Lamine Sissoko,ZDM,23,Juventus,Mali,fifa_2009
24,8085,Romaric,ZOM,25,Sevilla F.C.,ElfenbeinkÃ¼ste,fifa_2009
25,8084,Scott McDonald,ST,25,Celtic,Australien,fifa_2009
26,8087,Yuri Zhirkov,LM,25,Russland,Russland,fifa_2009
27,8084,Rodrigo Palacio,RFL,26,Boca Juniors,Argentinien,fifa_2009
28,8087,Aaron Lennon,RFL,21,Tottenham Hotspur,England,fifa_2009
29,8085,Christian Maggio,RAV,26,Napoli,Italien,fifa_2009
30,8082,LuisÃ£o,IV,27,Sport Lisboa Benfica,Brasilien,fifa_2009
1,8084,Sylvinho,LV,34,F.C. Barcelona,Brasilien,fifa_2009
2,8086,Santi Cazorla,RM,23,Villarreal C.F.,Spanien,fifa_2009
3,8084,FÃ¡bio Luciano,IV,33,Flamengo,Brasilien,fifa_2009
4,8087,MatÃ­as Emilio Delgado,ZOM,25,Besiktas JK,Argentinien,fifa_2009
5,8085,Daniel Alberto DÃ­az,IV,29,Getafe C.F.,Argentinien,fifa_2009
6,8083,Dario Srna,RM,26,Kroatien,Kroatien,fifa_2009
7,8084,Michel Bastos,LM,25,LOSC Lille,Brasilien,fifa_2009
8,8084,Oswaldo SÃ¡nchez,TW,34,Santos Laguna,Mexiko,fifa_2009
9,8085,Pietro Accardi,IV,25,Sampdoria,Italien,fifa_2009
10,8081,Benjani,ST,30,Manchester City,Simbabwe,fifa_2009
11,8084,James Milner,RFL,22,Aston Villa,England,fifa_2009
12,8085,Bruno Alves,IV,26,FC Porto,Portugal,fifa_2009
13,8086,VÃ¡gner Love,ST,24,Brasilien,Brasilien,fifa_2009
14,8087,Giampaolo Pazzini,MS,24,Fiorentina,Italien,fifa_2009
15,8084,Andrea Barzagli,IV,27,VfL Wolfsburg,Italien,fifa_2009
16,8084,Bakari KonÃ©,MS,26,Marseille,ElfenbeinkÃ¼ste,fifa_2009
17,8086,CuauhtÃ©moc Blanco,ZOM,35,Chicago Fire,Mexiko,fifa_2009
18,8084,Cicinho,RAV,28,AS Rom,Brasilien,fifa_2009
19,8083,Franco Semioli,RFL,28,Fiorentina,Italien,fifa_2009
20,8084,Marco Borriello,ST,26,AC Mailand,Italien,fifa_2009
21,8086,Bastian Schweinsteiger,RM,24,Bayern MÃ¼nchen,Deutschland,fifa_2009
22,8085,Simon Rolfes,ZDM,26,Bayer 04 Leverkusen,Deutschland,fifa_2009
23,8085,Diego Benaglio,TW,24,VfL Wolfsburg,Schweiz,fifa_2009
24,8084,Jermaine Jones,ZDM,26,FC Schalke 04,Deutschland,fifa_2009
25,8085,Reyes,LFL,25,Sport Lisboa Benfica,Spanien,fifa_2009
26,8083,Nihat,MS,28,Villarreal C.F.,TÃ¼rkei,fifa_2009
27,8085,Hamit Altintop,RM,25,Bayern MÃ¼nchen,TÃ¼rkei,fifa_2009
28,8089,John Mensah,IV,25,Olympique Lyon,Ghana,fifa_2009
29,8090,Adriano,ST,26,Inter Mailand,Brasilien,fifa_2009
30,8083,David Suazo,ST,28,Sport Lisboa Benfica,Honduras,fifa_2009
1,8080,Robert Green,TW,28,West Ham United,England,fifa_2009
2,8083,Markus Miller,TW,26,Karlsruher SC,Deutschland,fifa_2009
3,8087,Nigel de Jong,ZDM,23,Hamburger SV,Niederlande,fifa_2009
4,8083,Maxwell,LAV,27,Inter Mailand,Brasilien,fifa_2009
5,8084,Fabrizio Miccoli,MS,29,Palermo,Italien,fifa_2009
6,8085,Tim Wiese,TW,26,Werder Bremen,Deutschland,fifa_2009
7,8086,Henrik Larsson,ST,36,Helsingborg IF,Schweden,fifa_2009
8,8087,Mahamadou Diarra,ZDM,27,Real Madrid C.F.,Mali,fifa_2009
9,8082,Tim Cahill,ZOM,28,Everton,Australien,fifa_2009
10,8084,Jonathan Woodgate,IV,28,Tottenham Hotspur,England,fifa_2009
11,8080,Allan McGregor,TW,26,Rangers,Schottland,fifa_2009
12,8084,Morten Gamst Pedersen,LM,26,Blackburn Rovers,Norwegen,fifa_2009
13,8084,Markus Rosenberg,ST,25,Werder Bremen,Schweden,fifa_2009
