age,id,name,nation,overall,position,potential,team
26,167948,Hugo Lloris,Frankreich,85,TW,88,Spurs
25,165153,Karim Benzema,Frankreich,85,ST,87,Real Madrid
28,159287,Riccardo Montolivo,Italien,85,ZM ZOM ZDM,85,Mailand
28,146562,Santi Cazorla,Spanien,85,ZOM LM,85,Arsenal
27,146536,Jesús Navas,Spanien,85,RF ZOM RM MS,86,Sevilla FC
29,142754,Javier Mascherano,Argentinien,85,IV ZDM ZM,87,FC Barcelona
29,138956,Giorgio Chiellini,Italien,85,IV LV,88,Juventus
32,137186,Andrea Barzagli,Italien,85,IV,85,Juventus
30,53302,Daniele De Rossi,Italien,85,ZDM ZM,85,Roma
35,13038,Puyol,Spanien,85,IV RV,85,FC Barcelona
24,189596,Thomas Müller,Deutschland,84,RM ZOM MS,86,FC Bayern
26,189505,Pedro,Spanien,84,RF LF,88,FC Barcelona
24,188350,Marco Reus,Deutschland,84,LM RM ZOM,88,Bor. Dortmund
23,182521,Toni Kroos,Deutschland,84,ZOM ZM ZDM,87,FC Bayern
23,181820,Stevan Jovetić,Montenegro,84,ST,88,Fiorentina
28,180432,Hernanes,Brasilien,84,ZOM ZM,85,Lazio
26,179846,Sami Khedira,Deutschland,84,ZDM ZM,86,Real Madrid
28,177003,Luka Modrić,Kroatien,84,ZM ZOM ZDM,88,Real Madrid
26,168435,Salvatore Sirigu,Italien,84,TW,85,PSG
25,167664,Gonzalo Higuaín,Argentinien,84,ST MS,87,Real Madrid
26,165239,Samir Nasri,Frankreich,84,ZOM LM RM,85,Manchester City
28,159065,Ezequiel Lavezzi,Argentinien,84,LF ST,86,PSG
29,158625,Dante,Brasilien,84,IV LV,84,FC Bayern
28,158133,Jefferson Farfán,Peru,84,RM RF ST ZOM,85,FC Schalke 04
26,150724,Joe Hart,England,84,TW,86,Manchester City
28,146758,Soldado,Spanien,84,ST MS,84,Valencia CF
26,158023,Lionel Messi,Argentinien,94,MS ST RF,97,FC Barcelona
30,146530,Dani Alves,Brasilien,84,RV RF,84,FC Barcelona
26,143745,Arda Turan,Türkei,84,LM ZOM RM LF,88,Atlético Madrid
30,139668,Federico Marchetti,Italien,84,TW,85,Lazio
26,139068,Nani,Portugal,84,RM LM,86,Manchester Utd
28,136138,Diego,Brasilien,84,ZOM RM,85,VfL Wolfsburg
28,121933,René Adler,Deutschland,84,TW,85,Hamburger SV
30,120533,Pepe,Portugal,84,IV ZDM,84,Real Madrid
35,120274,Antonio Di Natale,Italien,84,ST MS LF,84,Udinese
31,106573,Victor Valdés,Spanien,84,TW,84,FC Barcelona
31,48940,Petr Čech,Tschechische Repub.,84,TW,84,Chelsea
28,20801,Cristiano Ronaldo,Portugal,92,LF LM ST RM,95,Real Madrid
27,167397,Falcao,Kolumbien,90,ST,92,Atlético Madrid
30,156616,Franck Ribéry,Frankreich,90,LM RM,90,FC Bayern
33,10535,Xavi,Spanien,90,ZM ZOM,90,FC Barcelona
29,41,Iniesta,Spanien,90,ZM LF ZOM,92,FC Barcelona
31,41236,Zlatan Ibrahimović,Schweden,89,ST,89,PSG
30,7826,Robin van Persie,Niederlande,89,ST MS,89,Manchester Utd
27,168542,David Silva,Spanien,88,ZOM RM LM,90,Manchester City
32,5479,Casillas,Spanien,88,TW,89,Real Madrid
26,179813,Edinson Cavani,Uruguay,87,ST,89,Napoli
30,45574,Rafael van der Vaart,Niederlande,84,ZOM MS ZM,84,Hamburger SV
32,34079,Ashley Cole,England,84,LV,84,Chelsea
35,11141,Miroslav Klose,Deutschland,84,ST,84,Lazio
32,9676,Samuel Eto'o,Kamerun,84,MS ZOM ST,84,A Machatschkala
21,197781,Isco,Spanien,83,ZOM ZM LM ST,87,Málaga CF
21,192119,Thibaut Courtois,Belgien,83,L TW,88,Atlético Madrid
21,190871,Neymar,Brasilien,83,ST LF,91,Santos
27,189362,Hulk,Brasilien,83,RF ST,88,Zenit
24,189358,Shinji Kagawa,Japan,83,ZOM MS LM,86,Manchester Utd
23,186627,Mario Balotelli,Italien,83,ST,90,Mailand
24,184941,Alexis Sánchez,Chile,83,RF LF MS ZOM,86,FC Barcelona
24,176635,Mesut Özil,Deutschland,87,ZOM LM RM ZM,90,Real Madrid
25,153079,Sergio Agüero,Argentinien,87,ST MS ZOM,89,Manchester City
31,140601,Nemanja Vidić,Serbien,87,IV,87,Manchester Utd
29,121944,Bastian Schweinsteiger,Deutschland,87,ZM ZDM RM LM,88,FC Bayern
29,121939,Philipp Lahm,Deutschland,87,RV LV,87,FC Bayern
27,54050,Wayne Rooney,England,87,MS ST ZOM,87,Manchester Utd
29,9014,Arjen Robben,Niederlande,87,RM LM RF LF,87,FC Bayern
34,7763,Andrea Pirlo,Italien,87,ZM ZDM ZOM,87,Juventus
35,1179,Gianluigi Buffon,Italien,87,TW,87,Juventus
25,183898,Ángel Di María,Argentinien,86,RM LM,88,Real Madrid
25,178088,Juan Mata,Spanien,86,ZOM LM RM,88,Chelsea
26,176580,Luis Suárez,Uruguay,86,MS ST,87,Liverpool
24,173731,Gareth Bale,Wales,86,MS LF,91,Spurs
27,167495,Manuel Neuer,Deutschland,86,TW,91,FC Bayern
28,164240,Thiago Silva,Brasilien,86,IV,88,PSG
26,162895,Cesc Fàbregas,Spanien,86,ZM ZOM ZDM MS,88,FC Barcelona
27,155862,Sergio Ramos,Spanien,86,IV RV,88,Real Madrid
26,152729,Piqué,Spanien,86,IV,88,FC Barcelona
28,150418,Mario Gomez,Deutschland,86,ST,86,FC Bayern
27,183280,Adil Rami,Frankreich,83,IV,87,Valencia CF
27,181783,Mario Mandžukić,Kroatien,83,ST MS,84,FC Bayern
27,180930,Edin Džeko,Bosnien-Herzegowina,83,ST,84,Manchester City
29,178372,Branislav Ivanović,Serbien,83,IV RV,83,Chelsea
25,177610,Javi Martínez,Spanien,83,ZDM IV ZM,86,FC Bayern
26,173909,Kevin-Prince Boateng,Ghana,83,ZOM RF ZM MS,86,Mailand
28,167905,Antonio Valencia,Ecuador,83,RM,83,Manchester Utd
30,163925,Alessandro Diamanti,Italien,83,ZOM MS RF,83,Bologna
28,163705,Steve Mandanda,Frankreich,83,TW,86,Marseille
29,162835,Samir Handanovič,Slowenien,83,TW,85,Inter
27,162347,João Moutinho,Portugal,83,ZM ZOM,86,FC Porto
28,162131,Fernando Llorente,Spanien,83,ST,83,Athletic Bilbao
28,161956,Borja Valero,Spanien,83,ZM ZDM,84,Fiorentina
26,157503,Alexandre Song,Kamerun,83,ZDM ZM IV,84,FC Barcelona
28,152039,Daniel Agger,Dänemark,83,IV LV,83,Liverpool
30,148803,Klaas-Jan Huntelaar,Niederlande,83,ST,83,FC Schalke 04
27,148119,Igor Akinfeev,Russland,83,TW,85,ZSKA Moskau
28,146439,Negredo,Spanien,83,ST MS,83,Sevilla FC
34,142708,Diego Milito,Argentinien,83,ST,83,Inter
31,138449,Kaká,Brasilien,83,ZOM MS,83,Real Madrid
31,113422,David Villa,Spanien,83,LF ST RF MS,83,FC Barcelona
29,106850,Mirko Vučinić,Montenegro,83,ST LF,83,Juventus
34,48717,Júlio César,Brasilien,83,TW,83,QPR
35,31432,Didier Drogba,Elfenbeinküste,83,ST,83,Galatasaray SK
31,24630,José Reina,Spanien,83,TW,83,Liverpool
35,23461,Walter Samuel,Argentinien,83,IV,83,Inter
33,13743,Steven Gerrard,England,83,ZOM ZM,83,Liverpool
32,13732,John Terry,England,83,IV,83,Chelsea
31,7631,Antonio Cassano,Italien,83,MS ZOM ST,83,Inter
34,7289,Rio Ferdinand,England,83,IV,83,Manchester Utd
27,209119,Francisco Amorebielsa,Venezuela,82,IV LV,82,Freie Spieler
29,209097,Omar Luis Cardosa,Paraguay,82,ST,82,Freie Spieler
21,200949,Lucas,Brasilien,82,RM,90,PSG
22,198710,James Rodríguez,Kolumbien,82,RF LF ZOM,89,FC Porto
24,192620,Holger Badstuber,Deutschland,82,IV LV,85,FC Bayern
20,190813,Stephan El Shaarawy,Italien,82,LF MS RF,87,Mailand
21,189461,Jack Wilshere,England,82,ZM ZDM ZOM,89,Arsenal
24,189332,Jordi Alba,Spanien,82,LV LF,84,FC Barcelona
22,188152,Oscar,Brasilien,82,ZOM RM,88,Chelsea
22,186942,İlkay Gündoğan,Deutschland,82,ZM ZDM ZOM,87,Bor. Dortmund
24,183556,Neven Subotić,Serbien,82,IV,84,Bor. Dortmund
28,183284,Aurélien Chedjou,Kamerun,82,IV,84,LOSC Lille
27,182493,Diego Godín,Uruguay,82,IV,84,Atlético Madrid
25,180403,Willian,Brasilien,82,LF ZOM ST,86,A Machatschkala
25,179784,Benedikt Höwedes,Deutschland,82,IV RV LV,85,FC Schalke 04
30,179752,Óscar Cardozo,Paraguay,82,ST,82,SL Benfica
25,178224,Javier Hernández,Mexiko,82,ST,85,Manchester Utd
25,178005,Rui Patrício,Portugal,82,TW,86,Sporting CP
26,177600,Beñat,Spanien,82,ZM ZDM,85,Betis Sevilla
26,177509,Medhi Benatia,Marokko,82,IV RV,84,Udinese
24,177457,Lars Bender,Deutschland,82,ZDM ZM RV RM,84,Bayer 04
28,177326,Mathieu Valbuena,Frankreich,82,ZOM,83,Marseille
28,177134,Demba Ba,Senegal,82,ST MS,82,Chelsea
28,176949,Bryan Ruíz,Costa Rica,82,ZOM MS RM,84,Fulham
25,176676,Marcelo,Brasilien,82,LV LM,85,Real Madrid
28,173771,Łukasz Piszczek,Polen,82,RV,83,Bor. Dortmund
26,172871,Jan Vertonghen,Belgien,82,IV LV,85,Spurs
26,170481,Ezequiel Garay,Argentinien,82,IV,86,SL Benfica
21,170368,Erik Lamela,Argentinien,82,RF ZOM,86,Roma
27,169051,Fredy Guarín,Kolumbien,82,ZM ZOM,86,Inter
26,167628,Stéphane Ruffier,Frankreich,82,TW,84,Saint-Etienne
28,166706,Martin Škrtel,Slowakei,82,IV,83,Liverpool
29,164435,Mbark Boussoufa,Marokko,82,ZOM RM RF,82,A Machatschkala
28,163631,Leighton Baines,England,82,LV,84,Everton
26,162409,Giuseppe Rossi,Italien,82,MS ST ZOM LF,84,Fiorentina
30,159261,Fabio Quagliarella,Italien,82,ST MS,82,Juventus
29,158810,Gökhan Inler,Schweiz,82,ZM,83,Napoli
31,152999,Rodrigo Palacio,Argentinien,82,ST,82,Inter
28,152908,Ashley Young,England,82,LM RM,84,Manchester Utd
29,150656,Rio Antonio Mavuba,Frankreich,82,ZDM ZM,84,LOSC Lille
31,146748,Diego López,Spanien,82,TW,82,Real Madrid
29,137361,Giampaolo Pazzini,Italien,82,ST,82,Mailand
30,135377,Jefferson,Brasilien,82,TW,82,Botafogo
30,112253,Jérémy Toulalan,Frankreich,82,ZDM ZM,82,Málaga CF
30,52797,Cristian Ledesma,Italien,82,ZM ZDM,82,Lazio
32,52091,Patrice Evra,Frankreich,82,LV,82,Manchester Utd
30,50542,Jermain Defoe,England,82,ST,82,Spurs
29,49369,Fernando Torres,Spanien,82,ST,82,Chelsea
32,45186,Joaquín,Spanien,82,RM ZOM RF,82,Málaga CF
31,45119,Mikel Arteta,Spanien,82,ZM ZDM,82,Arsenal
32,30110,Dimitar Berbatov,Bulgarien,82,ST MS,82,Fulham
33,28130,Ronaldinho,Brasilien,82,ZOM,82,Atl. Mineiro
32,21146,Michael Carrick,England,82,ZM ZDM,82,Manchester Utd
34,3813,Mickaël Landreau,Frankreich,82,TW,82,SC Bastia
33,2196,Roman Weidenfeller,Deutschland,82,TW,83,Bor. Dortmund
37,1256,Clarence Seedorf,Niederlande,82,ZOM,82,Botafogo
36,1238,Francesco Totti,Italien,82,LF ZOM ST,82,Roma
29,209100,Luis Barrogios,Paraguay,81,ST,81,Freie Spieler
20,201535,Raphaël Varane,Frankreich,81,IV ZDM,88,Real Madrid
22,193080,De Gea,Spanien,81,TW,85,Manchester Utd
24,191180,Javier Pastore,Argentinien,81,ZOM LM,85,PSG
24,190782,Sandro,Brasilien,81,ZDM ZM,84,Spurs
21,190460,Christian Eriksen,Dänemark,81,ZOM ZM,87,Ajax
25,188428,Seydou Doumbia,Elfenbeinküste,81,ST,84,ZSKA Moskau
25,186953,Onur Recep Kıvrak,Türkei,81,TW,82,Freie Spieler
27,186581,Keisuke Honda,Japan,81,ZOM RM,85,ZSKA Moskau
26,185221,Luiz Gustavo,Brasilien,81,ZDM LV IV,83,FC Bayern
26,184943,Ramires,Brasilien,81,ZM RM ZDM,84,Chelsea
23,184881,Sofiane Feghouli,Algerien,81,RM ZOM,84,Valencia CF
26,184344,Leonardo Bonucci,Italien,81,IV,84,Juventus
25,184144,Nico Gaitán,Argentinien,81,LM ZOM RM,85,SL Benfica
23,183285,Mamadou Sakho,Frankreich,81,IV LV,83,PSG
26,182495,Martín Cáceres,Uruguay,81,IV RV RM,83,Juventus
27,182494,Fernando Muslera,Uruguay,81,TW,87,Galatasaray SK
25,182168,Andrea Ranocchia,Italien,81,IV,87,Inter
24,179844,Diego Costa,Brasilien,81,ST MS LF,82,Atlético Madrid
27,178007,Miguel Veloso,Portugal,81,ZDM ZM,83,Freie Spieler
28,177765,Papiss Demba Cissé,Senegal,81,ST MS RF,81,Newcastle Utd
24,177458,Sven Bender,Deutschland,81,ZDM,84,Bor. Dortmund
24,177413,Axel Witsel,Belgien,81,ZM ZDM,87,Zenit
26,177388,Dimitri Payet,Frankreich,81,LF RF ZOM,84,LOSC Lille
29,176769,Jonas,Brasilien,81,MS ST,81,Valencia CF
23,176571,André Ayew,Ghana,81,LM,85,Marseille
26,176266,Lucas Leiva,Brasilien,81,ZDM,82,Liverpool
26,173221,Antonio Candreva,Italien,81,RM ZM,85,Lazio
26,173208,Domenico Criscito,Italien,81,LV,84,Zenit
26,170890,Blaise Matuidi,Frankreich,81,ZDM ZM,83,PSG
25,170797,Nuri Şahin,Türkei,81,L ZM ZDM,85,Bor. Dortmund
24,169416,Carlos Vela,Mexiko,81,RF MS ST ZOM,83,Real Sociedad
27,167943,Yohan Cabaye,Frankreich,81,ZM ZOM,84,Newcastle Utd
29,166072,Danilo,Brasilien,81,IV ZDM,82,Udinese
28,165580,Diego Alves,Brasilien,81,TW,85,Valencia CF
28,165229,Laurent Koscielny,Frankreich,81,IV,82,Arsenal
27,164994,Jakub Błaszczykowski,Polen,81,RM,83,Bor. Dortmund
24,164859,Theo Walcott,England,81,RF RM ST,85,Arsenal
28,164169,Filipe Luís,Brasilien,81,LV,83,Atlético Madrid
29,163699,Stéphane Sessègnon,Benin,81,ZOM RM LM MS,81,Sunderland
26,162240,Moussa Dembélé,Belgien,81,ZOM ZM ZDM,84,Spurs
26,161648,Hatem Ben Arfa,Frankreich,81,RF RM LF,84,Newcastle Utd
29,160774,Fred,Brasilien,81,ST,81,Fluminense
28,159145,Bafétimbi Gomis,Frankreich,81,ST,81,Olympique Lyon
27,157304,Thomas Vermaelen,Belgien,81,IV LV,81,Arsenal
28,152554,Gaël Clichy,Frankreich,81,LV,82,Manchester City
28,150516,Lukas Podolski,Deutschland,81,LF ST,83,Arsenal
31,149184,Christian Maggio,Italien,81,RM RV,81,Napoli
29,147782,Igor Denisov,Russland,81,ZDM,83,Zenit
28,142784,Pablo Zabaleta,Argentinien,81,RV LV,81,Manchester City
32,142750,Lucho González,Argentinien,81,ZM,81,FC Porto
30,139843,Michel Bastos,Brasilien,81,LM LF RM,81,FC Schalke 04
35,139094,Helton,Brasilien,81,TW,81,FC Porto
31,138726,Joleon Lescott,England,81,IV,81,Manchester City
27,138412,James Milner,England,81,RM ZM LM,82,Manchester City
31,138110,Bruno Alves,Portugal,81,IV,81,Zenit
29,137809,Vágner Love,Brasilien,81,ST MS,81,ZSKA Moskau
29,137677,Michel Vorm,Niederlande,81,TW,83,Swansea City
36,135460,Alex,Brasilien,81,ZOM ZM,81,Coritiba
28,124607,Selçuk İnan,Türkei,81,ZM ZDM,83,Galatasaray SK
28,124375,Burak Yılmaz,Türkei,81,ST MS RF,81,Galatasaray SK
33,123603,Hugo Campagnaro,Argentinien,81,IV,81,Napoli
31,116494,Cédric Carrasso,Frankreich,81,TW,81,Bordeaux
29,108080,Stephan Lichtsteiner,Schweiz,81,RM RV,81,Juventus
29,103935,Alberto Aquilani,Italien,81,ZM ZDM,84,Fiorentina
28,53578,Nigel de Jong,Niederlande,81,ZDM ZM,81,Mailand
34,53116,Fabrizio Miccoli,Italien,81,ST MS,81,Palermo
29,50598,Darren Bent,England,81,ST,81,Aston Villa
31,49370,Thiago Motta,Italien,81,ZDM,81,PSG
31,48745,Fabricio Coloccini,Argentinien,81,IV,81,Newcastle Utd
32,46815,Brede Hangeland,Norwegen,81,IV,81,Fulham
30,45674,Michaël Essien,Ghana,81,ZDM RV ZM,81,Real Madrid
31,41635,Philippe Mexès,Frankreich,81,IV RV,81,Mailand
34,25420,Claudio Pizarro,Peru,81,ST MS,81,FC Bayern
30,20800,Danny,Portugal,81,LF,81,Zenit
34,16254,Tim Howard,USA,81,TW,81,Everton
34,5809,Nicolas Anelka,Frankreich,81,ST,81,Juventus
35,5471,Frank Lampard,England,81,ZM ZDM,81,Chelsea
36,1219,Christian Abbiati,Italien,81,TW,81,Mailand
29,206407,João Pereira,Portugal,80,RV,80,Valencia CF
21,205525,Bernard,Brasilien,80,ZOM,86,Atl. Mineiro
22,201508,Gastón Ramirez,Uruguay,80,ZOM RM LM,84,Southampton
26,196144,Jackson Martínez,Kolumbien,80,ST,83,FC Porto
21,193747,Koke,Spanien,80,RM ZOM ZM,85,Atlético Madrid
22,193130,André Schürrle,Deutschland,80,LM LF MS ST,85,Bayer 04
21,192563,Bernd Leno,Deutschland,80,TW,85,Bayer 04
21,192448,Marc-André ter Stegen,Deutschland,80,TW,89,Bor. M'gladbach
25,192366,Nicolás Otamendi,Argentinien,80,IV,82,FC Porto
25,191202,Nemanja Matić,Serbien,80,ZDM ZM,85,SL Benfica
24,189963,Wilfried Bony,Elfenbeinküste,80,ST MS,82,Vitesse
23,189712,Kevin Strootman,Niederlande,80,ZM,85,PSV
26,189690,Guaita,Spanien,80,TW,84,Valencia CF
25,189354,Susaeta,Spanien,80,RF ZOM RM LM,82,Athletic Bilbao
23,188829,Nicolas N'Koulou,Kamerun,80,IV,85,Marseille
28,188791,Alberto Costa,Argentinien,80,ZM ZOM ZDM,83,Valencia CF
24,188567,Pierre-Emerick Aubameyang,Gabun,80,ST RF,83,Saint-Etienne
28,188105,Réver,Brasilien,80,IV,83,Atl. Mineiro
25,187961,Paulinho,Brasilien,80,ZDM ZM,85,Corinthians
24,186832,Kwadwo Asamoah,Ghana,80,LM ZM ZOM,83,Juventus
25,186569,Sven Ulreich,Deutschland,80,TW,82,VfB Stuttgart
23,186153,Wojciech Szczęsny,Polen,80,TW,84,Arsenal
26,184431,Sebastian Giovinco,Italien,80,MS ST,83,Juventus
26,184134,Fernando,Brasilien,80,ZDM,83,FC Porto
25,183855,Angelo Ogbonna,Italien,80,IV LV,87,Torino
26,182879,Balázs Dzsudzsák,Ungarn,80,RM LM,84,Dynamo Moskau
29,180695,Lima,Brasilien,80,ST MS,80,SL Benfica
24,180175,Alexandre Pato,Brasilien,80,ST,87,Corinthians
26,179944,David Luiz,Brasilien,80,IV ZDM,84,Chelsea
27,178535,Pablo Osvaldo,Italien,80,ST,81,Roma
26,178509,Olivier Giroud,Frankreich,80,ST,80,Arsenal
26,178393,Alessio Cerci,Italien,80,RM RF MS,85,Torino
25,176944,Marouane Fellaini,Belgien,80,ZOM MS,85,Everton
26,175943,Dries Mertens,Belgien,80,LF,83,PSV
30,174543,Claudio Bravo,Chile,80,TW,81,Real Sociedad
26,173198,Davide Astori,Italien,80,IV,84,Cagliari
26,172723,Asmir Begovic,Bosnien-Herzegowina,80,TW,84,Stoke City
25,172175,Kevin Mirallas,Belgien,80,RM ST LM,82,Everton
31,171919,Naldo,Brasilien,80,IV,80,VfL Wolfsburg
24,171833,Daniel Sturridge,England,80,ST RF,83,Liverpool
25,171688,Fábio Coentrão,Portugal,80,LV LM ZDM,84,Real Madrid
27,170783,Cheick Tioté,Elfenbeinküste,80,ZDM ZM,83,Newcastle Utd
26,170733,Gervinho,Elfenbeinküste,80,LF RF ST,80,Arsenal
27,169808,Urby Emanuelson,Niederlande,80,LM RM ZM,81,Fulham
25,169195,Renato Augusto,Brasilien,80,ZOM,84,Corinthians
29,168609,Miranda,Brasilien,80,IV,82,Atlético Madrid
26,167431,Gonzalo Castro,Deutschland,80,RM RV ZM RF,81,Bayer 04
27,164468,Gary Cahill,England,80,IV,83,Chelsea
34,164300,Andrè Dias,Brasilien,80,IV,80,Lazio
28,163711,Lassana Diarra,Frankreich,80,ZDM,83,A Machatschkala
30,163419,Bacary Sagna,Frankreich,80,RV,80,Arsenal
27,163418,Younès Kaboul,Frankreich,80,IV,82,Spurs
28,162123,Amorebieta,Venezuela,80,IV,82,Athletic Bilbao
27,158372,Ibrahim Afellay,Niederlande,80,LM ZOM LF MS,83,FC Schalke 04
28,157481,Raúl Albiol,Spanien,80,IV,84,Real Madrid
30,155897,Clint Dempsey,USA,80,ZOM LM,80,Sounders FC
30,154950,Yuriy Zhirkov,Russland,80,LM LV,80,A Machatschkala
26,152747,Aaron Lennon,England,80,RM,80,Spurs
32,148711,Luisão,Brasilien,80,IV,80,SL Benfica
30,148224,Raúl Meireles,Portugal,80,ZM ZDM,80,Freie Spieler
30,148217,Alexandr Anyukov,Russland,80,RV,80,Zenit
34,147794,Vyacheslav Malafeev,Russland,80,TW,80,Zenit
29,147621,Alexandr Samedov,Russland,80,ZOM RM RF,80,Lokomotiv
30,147004,Verdú,Spanien,80,ZOM MS ZM,80,RCD Espanyol
30,146954,Gabi,Spanien,80,ZM ZDM,80,Atlético Madrid
30,146482,Xabi Prieto,Spanien,80,ZOM RF,80,Real Sociedad
25,143076,Alejandro Gómez,Argentinien,80,LF ZOM,84,Catania
32,142938,Germán Denis,Argentinien,80,ST,80,Atalanta
29,142773,Walter Montillo,Argentinien,80,ZOM,80,Santos
30,142707,Lisandro López,Argentinien,80,ST LF,80,Olympique Lyon
31,139062,Willy Caballero,Argentinien,80,TW,80,Málaga CF
29,138782,Darren Fletcher,Schottland,80,ZM ZDM,80,Manchester Utd
32,138703,Andrés D'Alessandro,Argentinien,80,ZOM LM,80,I. Porto Alegre
30,137832,Diego Cavalieri,Brasilien,80,TW,80,Fluminense
30,137506,Goran Pandev,Mazedonien,80,ST MS,80,Napoli
29,137262,Stefan Kießling,Deutschland,80,ST MS,80,Bayer 04
32,136194,Luís Fabiano,Brasilien,80,ST,80,Sao Paulo
31,136130,Alex,Brasilien,80,IV,80,PSG
32,134979,Martín Demichelis,Argentinien,80,IV ZDM,80,Málaga CF
32,119152,Kolo Touré,Elfenbeinküste,80,IV,80,Manchester City
30,115533,Diego Benaglio,Schweiz,80,TW,82,VfL Wolfsburg
30,109416,Alexandr Kerzhakov,Russland,80,ST,80,Zenit
31,53914,Phil Jagielka,England,80,IV,80,Everton
28,53612,Per Mertesacker,Deutschland,80,IV,80,Arsenal
29,53050,Emmanuel Adebayor,Togo,80,ST MS,80,Spurs
31,50327,Steven Pienaar,Südafrika,80,LM RM,80,Everton
34,49072,Diego Forlán,Uruguay,80,ST,80,I. Porto Alegre
33,45601,Florent Malouda,Frankreich,80,LM LF,80,Chelsea
34,24248,David Pizarro,Chile,80,ZM,80,Fiorentina
42,11983,Brad Friedel,USA,80,TW,80,Spurs
32,8517,Scott Parker,England,80,ZDM ZM,80,Spurs
32,8473,Tomáš Rosický,Tschechische Repub.,80,ZOM ZM,80,Arsenal
32,6826,Gareth Barry,England,80,ZDM ZM,80,Manchester City
32,6747,Cristian Chivu,Rumänien,80,IV LV ZDM ZM,80,Inter
36,4667,Morgan De Sanctis,Italien,80,TW,80,Napoli
32,4098,Tiago,Portugal,80,ZM ZDM,80,Atlético Madrid
33,1289,Sebastien Frey,Frankreich,80,TW,80,Genoa
32,1178,Paolo Cannavaro,Italien,80,IV,80,Napoli
39,241,Ryan Giggs,Wales,80,ZOM LM ZM,80,Manchester Utd
26,199835,Emmanuel Emenike,Nigeria,79,ST,84,Spartak Moskau
24,199434,Dušan Tadić,Serbien,79,RF LF,84,FC Twente
24,198213,Leandro Damião,Brasilien,79,ST,86,I. Porto Alegre
21,197445,David Alaba,Österreich,79,LV ZM LM ZDM,83,FC Bayern
20,195864,Paul Pogba,Frankreich,79,ZDM ZM,87,Juventus
22,194765,Antoine Griezmann,Frankreich,79,LF MS,84,Real Sociedad
23,193738,Younès Belhanda,Marokko,79,ZOM ZM,83,Montpellier HSC
21,193348,Xherdan Shaqiri,Schweiz,79,RM LM ZOM,86,FC Bayern
